姓名,性別,出生年次,選舉類型,區域,推薦政黨,得票數,得票率,當選註記,是否現任
-,-,-,2002-91年鄉鎮市長選舉,臺南縣官田鄉,中國國民黨,3243,27.82%,,是
楊玉川,男,1948,1998-87年鄉鎮市長選舉,臺南縣大內鄉,中國國民黨,3796,49.40%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣大內鄉,中國國民黨,4037,57.41%,*,否
邱建男,男,1957,1998-87年鄉鎮市長選舉,臺南縣佳里鎮,中國國民黨,12086,43.82%,*,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣佳里鎮,中國國民黨,16644,72.43%,*,是
李柔慧,女,1957,1998-87年鄉鎮市長選舉,臺南縣七股鄉,民主進步黨,5371,37.22%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣七股鄉,民主進步黨,2401,18.26%,,否
徐茂喬,男,1957,1998-87年鄉鎮市長選舉,臺南縣新化鎮,中國國民黨,10825,50.98%,*,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣新化鎮,中國國民黨,12947,66.36%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南縣第六選區,中國國民黨,9059,26.79%,*,否
胡瑞男,男,1960,1998-87年鄉鎮市長選舉,臺南縣善化鎮,中國國民黨,7473,36.98%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南縣第七選區,無,7550,21.49%,*,否
林慶鎮,男,1958,1998-87年鄉鎮市長選舉,臺南縣新市鄉,無,7934,54.45%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南縣第十選區,無,6190,6.07%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",臺南市第09選區,無黨籍及未經政黨推薦,7741,6.01%,*,否
王文東,男,1956,1998-87年鄉鎮市長選舉,臺南縣安定鄉,無,9522,59.25%,*,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣安定鄉,無,11999,100.00%,*,是
鐘明憲,男,1940,1998-87年鄉鎮市長選舉,臺南縣玉井鄉,中國國民黨,3774,39.50%,,是
-,-,-,2002-91年鄉鎮市長選舉,臺南縣玉井鄉,無,3656,43.69%,,否
郭日財,男,1940,1998-87年鄉鎮市長選舉,臺南縣楠西鄉,無,4123,51.99%,*,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣楠西鄉,無,3561,50.52%,*,是
廖西仁,男,1945,1998-87年鄉鎮市長選舉,臺南縣南化鄉,中國國民黨,3974,64.88%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺南縣第八選區,無,7180,30.37%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南縣第八選區,無,7532,31.33%,*,是
鐘和邦,男,1940,1998-87年鄉鎮市長選舉,臺南縣仁德鄉,中國國民黨,15148,48.51%,,是
-,-,-,2002-91年鄉鎮市長選舉,臺南縣仁德鄉,中國國民黨,12824,42.23%,,否
林逢春,男,1952,1998-87年鄉鎮市長選舉,臺南縣歸仁鄉,民主進步黨,8722,31.34%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺南縣第九選區,無,6204,7.16%,*,否
劉朝銘,男,1949,1998-87年鄉鎮市長選舉,臺南縣歸仁鄉,中國國民黨,8523,30.63%,,否
-,-,-,2005-94年鄉鎮市長選舉,臺南縣歸仁鄉,中國國民黨,7960,26.18%,,是
張憲堂,男,1955,1998-87年鄉鎮市長選舉,臺南縣關廟鄉,中國國民黨,7944,38.63%,,否
-,-,-,2005-94年鄉鎮市長選舉,臺南縣關廟鄉,中國國民黨,10472,52.85%,*,是
黃榮東,男,1957,1998-87年鄉鎮市長選舉,臺南縣永康市,民主進步黨,18067,31.97%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺南縣永康市,無,4390,6.92%,,否
曾文錡,男,1952,1998-87年鄉鎮市長選舉,臺南縣永康市,中國國民黨,25513,45.15%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺南縣選舉區,無,12139,2.28%,,否
黃順成,男,1958,1998-87年鄉鎮市長選舉,高雄縣林園鄉,無,14214,38.21%,,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第11選區,無黨籍及未經政黨推薦,3291,3.27%,,否
張美麗,女,1955,1998-87年鄉鎮市長選舉,高雄縣林園鄉,中國國民黨,14663,39.42%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣林園鄉,中國國民黨,6912,20.14%,,是
-,-,-,2005-94年鄉鎮市長選舉,高雄縣林園鄉,中國國民黨,3557,9.99%,,否
陳本源,男,1956,1998-87年鄉鎮市長選舉,高雄縣林園鄉,民主進步黨,8320,22.37%,,否
-,-,-,2010-99年村里長選舉,嘉義縣鹿草鄉竹山村,無,416,45.97%,,是
徐張貴華,女,1957,1998-87年鄉鎮市長選舉,高雄縣大寮鄉,無,22395,40.06%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣大寮鄉,無,10343,20.80%,,是
黃寶源,男,1955,1998-87年鄉鎮市長選舉,高雄縣大樹鄉,中國國民黨,13527,54.41%,*,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣大樹鄉,中國國民黨,10210,45.05%,,否
陳秋東,男,1951,1998-87年鄉鎮市長選舉,高雄縣鳥松鄉,中國國民黨,10312,56.27%,*,是
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第05選區,無黨籍及未經政黨推薦,6579,6.05%,,否
吳玉書,男,1951,1998-87年鄉鎮市長選舉,高雄縣鳥松鄉,無,8015,43.73%,,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣鳥松鄉,無,4778,27.54%,,否
陳逮昇,男,1956,1998-87年鄉鎮市長選舉,高雄縣田寮鄉,無,1537,23.60%,,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣田寮鄉,無,2191,40.52%,,否
陳明看,男,1950,1998-87年鄉鎮市長選舉,高雄縣阿蓮鄉,中國國民黨,8997,62.60%,*,是
-,-,-,2005-94年鄉鎮市長選舉,高雄縣阿蓮鄉,中國國民黨,5901,39.77%,,否
林懋森,男,1940,1998-87年鄉鎮市長選舉,高雄縣阿蓮鄉,民主進步黨,5375,37.40%,,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣阿蓮鄉,無,2112,14.61%,,否
蘇清鴻,男,1952,1998-87年鄉鎮市長選舉,高雄縣路竹鄉,中國國民黨,17413,59.62%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣路竹鄉,中國國民黨,14236,53.45%,*,是
王和雄,男,1943,1998-87年鄉鎮市長選舉,高雄縣路竹鄉,民主進步黨,11795,40.38%,,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣路竹鄉,民主進步黨,11335,40.84%,*,否
黃炎森,男,1963,1998-87年鄉鎮市長選舉,高雄縣湖內鄉,民主進步黨,6024,40.44%,,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣湖內鄉,民主進步黨,8529,58.60%,*,是
薛明和,男,1954,1998-87年鄉鎮市長選舉,高雄縣茄萣鄉,中國國民黨,4907,26.18%,,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣茄萣鄉,無,3681,20.20%,,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第02選區,無黨籍及未經政黨推薦,4011,4.43%,,否
曾石城,男,1953,1998-87年鄉鎮市長選舉,高雄縣茄萣鄉,中國國民黨,6239,33.28%,,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣茄萣鄉,無,4735,25.99%,*,否
張漢雄,男,1961,1998-87年鄉鎮市長選舉,高雄縣梓官鄉,中國國民黨,13916,67.36%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣梓官鄉,中國國民黨,10227,52.76%,*,是
郭錦河,男,1959,1998-87年鄉鎮市長選舉,高雄縣旗山鎮,無,9501,38.43%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣旗山鎮,民主進步黨,8922,39.75%,,是
傅瑞智,男,1960,1998-87年鄉鎮市長選舉,高雄縣美濃鎮,無,13419,49.99%,,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣美濃鎮,無,4417,20.80%,,否
鍾紹恢,男,1952,1998-87年鄉鎮市長選舉,高雄縣美濃鎮,中國國民黨,13427,50.01%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣美濃鎮,無,6655,31.34%,*,是
鍾盛有,男,1952,1998-87年鄉鎮市長選舉,高雄縣杉林鄉,民主進步黨,4861,63.13%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",高雄縣第六選區,民主進步黨,11421,16.21%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第01選區,無黨籍及未經政黨推薦,11893,15.10%,,否
詹忠義,男,1959,1998-87年鄉鎮市長選舉,高雄縣茂林鄉,中國國民黨,410,35.93%,,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣茂林鄉,無,716,64.62%,*,否
張正信,男,1958,1998-87年鄉鎮市長選舉,高雄縣茂林鄉,中國國民黨,442,38.74%,*,否
-,-,-,"2002-91年直轄市議員選舉 > 原住民",高雄市,無,637,19.95%,,否
-,-,-,"2010-99年直轄市議員選舉 > 山地",高雄市第15選區,民主進步黨,411,13.90%,,否
李德康,男,1948,1998-87年鄉鎮市長選舉,高雄縣三民鄉,中國國民黨,589,34.73%,,否
-,-,-,"2005-94年縣市議員選舉 > 山原",高雄縣第十選區,親民黨,1700,100.00%,*,否
王進士,男,1948,1998-87年鄉鎮市長選舉,屏東縣屏東市,中國國民黨,40747,43.64%,*,否
-,-,-,2001-90年縣市長選舉,屏東縣,中國國民黨,175584,40.61%,,否
-,-,-,2005-94年縣市長選舉,屏東縣,中國國民黨,195928,41.86%,,否
-,-,-,"2008-第 07 屆 立法委員選舉 > 區域",屏東縣第02選區,中國國民黨,69027,56.82%,*,否
-,-,-,"2012-第 08 屆 立法委員選舉 > 區域",屏東縣第02選區,中國國民黨,80696,51.50%,*,是
王志豐,男,1962,1998-87年鄉鎮市長選舉,屏東縣潮州鎮,中國國民黨,9310,36.27%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",屏東縣第三選區,中國國民黨,7033,6.87%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",屏東縣第03選區,中國國民黨,6215,6.29%,*,是
王憲昭,男,1943,1998-87年鄉鎮市長選舉,屏東縣東港鎮,民主進步黨,11451,50.86%,*,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣東港鎮,無,10236,43.70%,*,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣東港鎮,民主進步黨,15202,63.14%,*,是
尤春共,男,1946,1998-87年鄉鎮市長選舉,屏東縣恆春鎮,中國國民黨,7965,52.37%,*,是
-,-,-,2005-94年鄉鎮市長選舉,屏東縣恆春鎮,中國國民黨,6254,44.97%,,否
林枝讚,男,1950,1998-87年鄉鎮市長選舉,屏東縣萬丹鄉,無,12573,47.48%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",屏東縣第四選區,台灣團結聯盟,7142,9.34%,*,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣萬丹鄉,民主進步黨,13929,47.90%,,否
邱清源,男,1943,1998-87年鄉鎮市長選舉,屏東縣長治鄉,民主進步黨,7699,52.79%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",屏東縣第二選區,民主進步黨,3981,4.98%,,否
許國華,男,1955,1998-87年鄉鎮市長選舉,屏東縣里港鄉,中國國民黨,6876,45.77%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",屏東縣第二選區,民主進步黨,9818,11.92%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",屏東縣第02選區,民主進步黨,12608,15.58%,*,是
呂耀嘉,男,1954,1998-87年鄉鎮市長選舉,屏東縣鹽埔鄉,中國國民黨,8213,52.32%,*,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣鹽埔鄉,無黨籍及未經政黨推薦,4569,29.21%,,否
溫有添,男,1951,1998-87年鄉鎮市長選舉,屏東縣內埔鄉,民主進步黨,10503,37.60%,*,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣內埔鄉,無,8903,32.72%,,是
賴耀熙,男,1952,1998-87年鄉鎮市長選舉,屏東縣竹田鄉,中國國民黨,7412,68.94%,*,否
-,-,-,"2002-91年縣市議員選舉 > 區域",屏東縣第三選區,中國國民黨,6606,6.86%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",屏東縣第三選區,無,6425,6.28%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",屏東縣第03選區,無黨籍及未經政黨推薦,5569,5.63%,,是
何耀榮,男,1955,1998-87年鄉鎮市長選舉,屏東縣新埤鄉,中國國民黨,3486,51.94%,*,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣新埤鄉,中國國民黨,3118,45.45%,,是
-,-,-,2005-94年鄉鎮市長選舉,屏東縣新埤鄉,中國國民黨,3595,52.45%,*,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣新埤鄉,中國國民黨,3589,51.58%,*,是
林愛玲,女,1957,1998-87年鄉鎮市長選舉,屏東縣新埤鄉,民主進步黨,3225,48.06%,,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣新埤鄉,民主進步黨,3718,54.19%,*,否
陳軍國,男,1947,1998-87年鄉鎮市長選舉,屏東縣枋寮鄉,民主進步黨,7234,45.55%,,是
-,-,-,2002-91年鄉鎮市長選舉,屏東縣枋寮鄉,民主進步黨,7278,47.72%,,否
吳照雄,男,1944,1998-87年鄉鎮市長選舉,屏東縣枋寮鄉,中國國民黨,8649,54.45%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",屏東縣第三選區,無,2325,2.27%,,否
周宏勝,男,1955,1998-87年鄉鎮市長選舉,屏東縣新園鄉,民主進步黨,12857,56.06%,*,是
-,-,-,2005-94年鄉鎮市長選舉,屏東縣新園鄉,無,5817,25.20%,,否
蔡和順,男,1960,1998-87年鄉鎮市長選舉,屏東縣崁頂鄉,無,3687,48.25%,,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣崁頂鄉,民主進步黨,3822,43.21%,,是
曾春成,男,1944,1998-87年鄉鎮市長選舉,屏東縣林邊鄉,無,658,5.76%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,屏東縣林邊鄉第01選舉區,無,244,4.69%,,否
鄭信政,男,1956,1998-87年鄉鎮市長選舉,屏東縣林邊鄉,無,797,6.98%,,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣林邊鄉,無,4817,44.10%,,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣林邊鄉,無黨籍及未經政黨推薦,6108,56.85%,*,否
郭發登,男,1936,1998-87年鄉鎮市長選舉,屏東縣南州鄉,無,1458,20.95%,,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣南州鄉,無,326,4.21%,,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣南州鄉,無,565,7.57%,,否
林福泉,男,1936,1998-87年鄉鎮市長選舉,屏東縣琉球鄉,無,3271,44.37%,,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣琉球鄉,無,2561,31.55%,,否
張英和,男,1932,1998-87年鄉鎮市長選舉,屏東縣車城鄉,中國國民黨,2599,44.55%,,是
-,-,-,2002-91年鄉鎮市長選舉,屏東縣車城鄉,民主進步黨,1772,30.88%,,否
余增春,男,1963,1998-87年鄉鎮市長選舉,屏東縣滿州鄉,中國國民黨,2235,43.83%,,否
-,-,-,2009-98年鄉鎮市長選舉,屏東縣滿州鄉,無黨籍及未經政黨推薦,2409,44.94%,,否
熊金郎,男,1939,1998-87年鄉鎮市長選舉,屏東縣滿州鄉,民主進步黨,2864,56.17%,*,是
-,-,-,2005-94年鄉鎮市長選舉,屏東縣滿州鄉,無,2881,52.20%,*,否
杜傳,男,1943,1998-87年鄉鎮市長選舉,屏東縣霧臺鄉,中國國民黨,837,37.99%,*,否
-,-,-,"2009-98年縣市議員選舉 > 山原",屏東縣第16選區,中國國民黨,871,44.59%,,否
柯春雄,男,1951,1998-87年鄉鎮市長選舉,屏東縣霧臺鄉,中國國民黨,699,31.73%,,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣霧臺鄉,無,466,24.00%,,否
劉振榮,男,1952,1998-87年鄉鎮市長選舉,屏東縣泰武鄉,無,861,35.30%,*,否
-,-,-,2005-94年鄉鎮市長選舉,屏東縣泰武鄉,中國國民黨,799,26.89%,,否
張忠行,男,1943,1998-87年鄉鎮市長選舉,屏東縣泰武鄉,中國國民黨,854,35.01%,,是
-,-,-,2002-91年鄉鎮市長選舉,屏東縣泰武鄉,中國國民黨,1383,52.93%,*,否
連正勝,男,1949,1998-87年鄉鎮市長選舉,屏東縣來義鄉,中國國民黨,3747,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 山原",屏東縣第十二選區,中國國民黨,2337,54.02%,*,否
-,-,-,"2005-94年縣市議員選舉 > 山原",屏東縣第十二選區,中國國民黨,4198,100.00%,*,是
-,-,-,"2009-98年縣市議員選舉 > 山原",屏東縣第12選區,中國國民黨,4321,100.00%,*,是
林輝雄,男,1948,1998-87年鄉鎮市長選舉,屏東縣春日鄉,中國國民黨,1378,51.25%,*,否
-,-,-,2002-91年鄉鎮市長選舉,屏東縣春日鄉,中國國民黨,1894,100.00%,*,是
-,-,-,"2005-94年縣市議員選舉 > 山原",屏東縣第十三選區,中國國民黨,1481,50.96%,*,否
-,-,-,"2009-98年縣市議員選舉 > 山原",屏東縣第13選區,中國國民黨,2187,100.00%,*,是
黃順發,男,1948,1998-87年鄉鎮市長選舉,屏東縣牡丹鄉,中國國民黨,1440,58.73%,*,是
-,-,-,"2002-91年縣市議員選舉 > 山原",屏東縣第十五選區,中國國民黨,1081,37.17%,*,否
-,-,-,"2005-94年縣市議員選舉 > 山原",屏東縣第十五選區,中國國民黨,988,32.44%,*,是
陳建閣,男,1967,1998-87年鄉鎮市長選舉,臺東縣臺東市,中國國民黨,14249,28.90%,,否
-,-,-,"2002-91年縣市議員選舉 > 區域",臺東縣第一選區,中國國民黨,1781,4.20%,,否
-,-,-,2005-94年鄉鎮市長選舉,臺東縣台東市,中國國民黨,20903,42.56%,*,否
-,-,-,2009-98年鄉鎮市長選舉,臺東縣臺東市,中國國民黨,31426,67.29%,*,是
侯武成,男,1956,1998-87年鄉鎮市長選舉,臺東縣成功鎮,中國國民黨,4582,59.78%,*,是
-,-,-,2005-94年鄉鎮市長選舉,臺東縣成功鎮,無,3996,58.14%,*,否
-,-,-,2009-98年鄉鎮市長選舉,臺東縣成功鎮,無黨籍及未經政黨推薦,4087,60.61%,*,是
王寵懿,男,1947,1998-87年鄉鎮市長選舉,臺東縣關山鎮,無,1962,38.28%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺東縣關山鎮,中國國民黨,2525,54.65%,*,否
許瑞貴,男,1955,1998-87年鄉鎮市長選舉,臺東縣關山鎮,中國國民黨,3164,61.72%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",臺東縣選舉區,親民黨,16660,23.41%,,否
-,-,-,"2004-第 06 屆 立法委員選舉 > 區域",臺東縣選舉區,民主進步黨,23551,37.99%,,否
-,-,-,2005-94年鄉鎮市長選舉,臺東縣台東市,民主進步黨,17207,35.04%,,否
張卓然,男,1947,1998-87年鄉鎮市長選舉,臺東縣卑南鄉,中國國民黨,8601,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺東縣第二選區,中國國民黨,3004,43.59%,,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺東縣第二選區,中國國民黨,3014,49.48%,,否
-,-,-,"2009-98年縣市議員選舉 > 區域",臺東縣第02選區,中國國民黨,2868,52.80%,*,是
葉寶山,男,1958,1998-87年鄉鎮市長選舉,臺東縣鹿野鄉,中國國民黨,2045,41.30%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",臺東縣第04選區,無黨籍及未經政黨推薦,1630,15.51%,,否
邱一郎,男,1938,1998-87年鄉鎮市長選舉,臺東縣東河鄉,中國國民黨,4368,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",臺東縣第三選區,中國國民黨,2299,28.48%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",臺東縣第三選區,中國國民黨,2106,29.65%,,是
江世崇,男,1956,1998-87年鄉鎮市長選舉,臺東縣長濱鄉,中國國民黨,1822,39.67%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺東縣長濱鄉,無,1703,43.50%,,否
潘榮宗,男,1950,1998-87年鄉鎮市長選舉,臺東縣長濱鄉,中國國民黨,1837,40.00%,*,是
-,-,-,2009-98年鄉鎮市長選舉,臺東縣長濱鄉,無黨籍及未經政黨推薦,194,4.73%,,否
余夢蝶,男,1955,1998-87年鄉鎮市長選舉,臺東縣海端鄉,中國國民黨,1091,56.09%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 山原",全國,親民黨,5132,6.00%,,否
黃春寶,男,1953,1998-87年鄉鎮市長選舉,臺東縣海端鄉,無,854,43.91%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺東縣海端鄉,中國國民黨,1264,88.52%,*,否
胡武仁,男,1958,1998-87年鄉鎮市長選舉,臺東縣延平鄉,中國國民黨,1493,100.00%,*,否
-,-,-,2002-91年鄉鎮市長選舉,臺東縣延平鄉,中國國民黨,1075,60.39%,*,是
周貴光,男,1955,1998-87年鄉鎮市長選舉,臺東縣蘭嶼鄉,新黨,514,37.91%,,否
-,-,-,2002-91年鄉鎮市長選舉,臺東縣蘭嶼鄉,親民黨,685,53.31%,*,否
葉耀輝,男,1949,1998-87年鄉鎮市長選舉,花蓮縣花蓮市,中國國民黨,26854,63.66%,*,是
-,-,-,"2001-第 05 屆立法委員選舉 > 區域",花蓮縣選舉區,中國國民黨,19780,16.77%,,否
潘富民,男,1958,1998-87年鄉鎮市長選舉,花蓮縣玉里鎮,中國國民黨,5515,40.79%,*,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣玉里鎮,中國國民黨,5728,44.34%,*,是
-,-,-,"2005-94年縣市議員選舉 > 區域",花蓮縣第四選區,中國國民黨,2278,12.01%,*,否
-,-,-,"2009-98年縣市議員選舉 > 區域",花蓮縣第04選區,中國國民黨,4520,25.69%,*,是
呂三郎,男,1945,1998-87年鄉鎮市長選舉,花蓮縣玉里鎮,中國國民黨,3797,28.08%,,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣玉里鎮,無,4372,33.84%,,否
徐松海,男,1941,1998-87年鄉鎮市長選舉,花蓮縣吉安鄉,中國國民黨,24215,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",花蓮縣第三選區,中國國民黨,3194,7.82%,*,否
張懷文,女,1953,1998-87年鄉鎮市長選舉,花蓮縣壽豐鄉,中國國民黨,5803,56.47%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",花蓮縣第三選區,中國國民黨,4662,9.85%,*,否
-,-,-,2009-98年鄉鎮市長選舉,花蓮縣壽豐鄉,中國國民黨,5772,60.03%,*,否
陳東海,男,1952,1998-87年鄉鎮市長選舉,花蓮縣壽豐鄉,無,2281,22.20%,,否
-,-,-,"1998-87年縣市議員選舉 > 區域",高雄縣第5選區,民主進步黨,9825,47.66%,*,否
-,-,-,2002-91年鄉鎮市長選舉,高雄縣阿蓮鄉,民主進步黨,8492,58.76%,*,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣壽豐鄉,無,3457,35.98%,,否
-,-,-,2005-94年鄉鎮市長選舉,高雄縣阿蓮鄉,民主進步黨,8937,60.23%,*,是
-,-,-,2005-94年鄉鎮市長選舉,花蓮縣壽豐鄉,中國國民黨,5869,59.22%,*,否
-,-,-,"2010-99年直轄市議員選舉 > 區域",高雄市第02選區,無黨籍及未經政黨推薦,3355,3.70%,,否
蔡義昌,男,1956,1998-87年鄉鎮市長選舉,花蓮縣光復鄉,中國國民黨,2734,36.45%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣光復鄉第03選舉區,中國國民黨,333,21.97%,,是
李啟誠,男,1949,1998-87年鄉鎮市長選舉,花蓮縣豐濱鄉,中國國民黨,1386,49.91%,*,是
-,-,-,2005-94年鄉鎮市長選舉,花蓮縣豐濱鄉,中國國民黨,23,0.85%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣豐濱鄉第01選舉區,中國國民黨,203,29.59%,,否
劉永靜,男,1955,1998-87年鄉鎮市長選舉,花蓮縣豐濱鄉,無,1310,47.17%,,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣豐濱鄉,中國國民黨,1296,44.32%,*,否
蘇孝信,男,1944,1998-87年鄉鎮市長選舉,花蓮縣富里鄉,中國國民黨,5463,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",花蓮縣第四選區,中國國民黨,4033,21.25%,*,否
-,-,-,2005-94年鄉鎮市長選舉,花蓮縣富里鄉,中國國民黨,2672,47.02%,,否
林日金,男,1959,1998-87年鄉鎮市長選舉,花蓮縣秀林鄉,中國國民黨,2341,34.78%,,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣秀林鄉,無,483,6.87%,,否
-,-,-,2005-94年鄉鎮市長選舉,花蓮縣秀林鄉,親民黨,2011,30.91%,,否
黃輝寶,男,1950,1998-87年鄉鎮市長選舉,花蓮縣秀林鄉,中國國民黨,2592,38.51%,*,否
-,-,-,"2005-94年縣市議員選舉 > 山原",花蓮縣第八選區,親民黨,3245,43.75%,,否
-,-,-,"2009-98年縣市議員選舉 > 山原",花蓮縣第08選區,中國國民黨,2887,38.97%,*,是
彭密成,男,1949,1998-87年鄉鎮市長選舉,花蓮縣萬榮鄉,無,61,1.87%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣萬榮鄉第02選舉區,無,82,8.13%,,否
王田明,男,1961,1998-87年鄉鎮市長選舉,花蓮縣萬榮鄉,中國國民黨,1005,30.82%,,否
-,-,-,2009-98年鄉鎮市長選舉,花蓮縣萬榮鄉,無黨籍及未經政黨推薦,886,28.88%,,否
林榮輝,男,1956,1998-87年鄉鎮市長選舉,花蓮縣萬榮鄉,中國國民黨,1061,32.54%,,否
-,-,-,2002-91年鄉鎮市長選舉,花蓮縣萬榮鄉,中國國民黨,1124,32.79%,,否
-,-,-,"2005-94年縣市議員選舉 > 山原",花蓮縣第九選區,中國國民黨,1862,57.77%,*,否
-,-,-,"2009-98年縣市議員選舉 > 山原",花蓮縣第09選區,無黨籍及未經政黨推薦,1571,48.65%,,是
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣萬榮鄉第03選舉區,無,223,15.66%,,否
石進燕,男,1948,1998-87年鄉鎮市長選舉,花蓮縣卓溪鄉,中國國民黨,1180,38.13%,*,否
-,-,-,"2005-94年縣市議員選舉 > 山原",花蓮縣第十選區,中國國民黨,1139,37.83%,,否
-,-,-,2010-99年鄉鎮市民代表選舉,花蓮縣卓溪鄉第02選舉區,中國國民黨,267,17.33%,*,否
王乾發,男,1950,1998-87年鄉鎮市長選舉,澎湖縣馬公市,中國國民黨,12347,49.30%,,否
-,-,-,2002-91年鄉鎮市長選舉,澎湖縣馬公市,中國國民黨,23829,100.00%,*,否
魏長源,男,1951,1998-87年鄉鎮市長選舉,澎湖縣白沙鄉,中國國民黨,4750,100.00%,*,是
-,-,-,"2002-91年縣市議員選舉 > 區域",澎湖縣第三選區,中國國民黨,2049,41.22%,*,否
-,-,-,"2005-94年縣市議員選舉 > 區域",澎湖縣第三選區,中國國民黨,1508,29.49%,*,是
-,-,-,"2009-98年縣市議員選舉 > 區域",澎湖縣第03選區,中國國民黨,1408,34.01%,*,是
楊石龍,男,1959,1998-87年鄉鎮市長選舉,澎湖縣西嶼鄉,中國國民黨,3914,100.00%,*,否
